# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
21

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
BODY,FuselageGeom,0,ZQCTGKKFUH,0,0,0,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,16,17
# x,y,z,u,w
1.559999999999999998e-01, 1.167267452874599931e-02, -3.685452201277600315e-02, 2.000000000000000000e+00, 7.500000000000000000e-01
1.559999999999999998e-01, 0.000000000000000000e+00, -4.000000000000000083e-02, 2.000000000000000000e+00, 1.000000000000000000e+00
1.559999999999999998e-01, -1.167267452874599584e-02, -3.685452201277600315e-02, 2.000000000000000000e+00, 1.250000000000000000e+00
1.559999999999999998e-01, -2.120904402555199783e-02, -2.827872536740265799e-02, 2.000000000000000000e+00, 1.500000000000000000e+00
1.559999999999999720e-01, -2.764089150958199542e-02, -1.556356603832799619e-02, 2.000000000000000000e+00, 1.750000000000000000e+00
1.559999999999999443e-01, -2.999999999999999889e-02, 0.000000000000000000e+00, 2.000000000000000000e+00, 2.000000000000000000e+00
1.559999999999999720e-01, -2.764089150958199542e-02, 1.556356603832799619e-02, 2.000000000000000000e+00, 2.250000000000000000e+00
1.559999999999999998e-01, -2.120904402555199783e-02, 2.827872536740265799e-02, 2.000000000000000000e+00, 2.500000000000000000e+00
1.559999999999999998e-01, -1.167267452874599584e-02, 3.685452201277600315e-02, 2.000000000000000000e+00, 2.750000000000000000e+00
1.559999999999999998e-01, 0.000000000000000000e+00, 4.000000000000000083e-02, 2.000000000000000000e+00, 3.000000000000000000e+00
